part_id,part_description,category,hs_code,supplier_id,supplier_name,tier,country_of_origin,region,annual_volume_units,unit_cost_usd,material_share_pct,criticality,single_source_flag,on_time_delivery_pct,annual_spend_usd,matched_alert_ids,applied_delta_pct,landed_cost_before_usd,landed_cost_after_usd,annual_cost_impact_usd,exposure_score,risk_band
P0136,ABS enclosure top,Polymer Housings,3926.90,S025,Orin Microelectronics,2,Vietnam,SE Asia,589942,2.586,0.71,Medium,False,88.6,1525590.01,,0.0,2.586,2.586,0.0,11.7,Green
P0137,OLED display 1.3in,Display Modules,9013.80,S029,Orin Industries,1,Thailand,SE Asia,599244,17.901,0.59,Medium,False,99.5,10727066.84,,0.0,17.901,17.901,0.0,11.0,Green
P0138,DC-DC converter IC,Semiconductors/ICs,8542.32,S050,Volt Semicon,3,Japan,East Asia,321588,10.655,0.69,High,False,86.6,3426520.14,,0.0,10.655,10.655,0.0,20.8,Green
P0139,MLCC array 0402,Capacitors,8532.21,S049,Doran Fabrication,1,China,East Asia,1649418,0.03,0.72,Low,True,91.0,49482.54,GTA0004,15.0,0.03,0.0345,7422.38,32.8,Amber
P0140,Gate driver IC,Semiconductors/ICs,8542.39,S050,Volt Semicon,3,Japan,East Asia,487644,7.463,0.5,High,False,86.6,3639287.17,,0.0,7.463,7.463,0.0,20.8,Green
P0141,RF transceiver,Semiconductors/ICs,8542.39,S050,Volt Semicon,3,Japan,East Asia,366915,18.333,0.63,High,False,86.6,6726652.69,,0.0,18.333,18.333,0.0,20.8,Green
P0142,Nylon cable gland,Polymer Housings,3926.90,S045,Kori Technologies,3,Japan,East Asia,658091,2.019,0.56,Medium,False,99.5,1328685.73,,0.0,2.019,2.019,0.0,11.0,Green
P0143,PBT connector housing,Polymer Housings,3926.90,S041,Lumen Technologies,1,Thailand,SE Asia,632940,1.319,0.57,Medium,True,94.6,834847.86,,0.0,1.319,1.319,0.0,25.3,Amber
P0144,Battery pack 4S,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,305893,7.705,0.68,Medium,False,97.0,2356905.56,,0.0,7.705,7.705,0.0,11.2,Green
P0145,e-Paper module,Display Modules,9013.80,S042,Kanto Precision,1,South Korea,East Asia,800869,26.588,0.45,Low,False,82.7,21293504.97,,0.0,26.588,26.588,0.0,5.0,Green
P0146,HDI rigid-flex PCB,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,681096,1.836,0.68,High,False,87.7,1250492.26,,0.0,1.836,1.836,0.0,20.7,Green
P0147,LiPo pouch cell 3000mAh,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,693985,5.668,0.49,Medium,False,97.0,3933506.98,,0.0,5.668,5.668,0.0,11.2,Green
P0148,5.5in TFT-LCD module,Display Modules,9013.80,S042,Kanto Precision,1,South Korea,East Asia,672564,25.766,0.62,Low,False,82.7,17329284.02,,0.0,25.766,25.766,0.0,5.0,Green
P0149,RF coax connector,Connectors,8536.69,S044,Sable Systems,1,Taiwan,East Asia,858571,0.303,0.48,High,True,95.0,260147.01,,0.0,0.303,0.303,0.0,34.3,Amber
P0150,6-layer FR4 PCB,PCB & Laminates,8534.00,S040,Vireo Systems,1,Malaysia,SE Asia,302032,7.606,0.55,Low,True,87.1,2297255.39,GTA0028,4.8,7.606,7.9711,110271.88,63.9,Red
